분류,일반/특별,제휴사,프로모션명,시작일,종료일,내용,혜택,카테고리,Thumbnail,Detail,URL
자체,일반,,🎉 바로오더데이엔 카드혜택 마음껏💕,2026-06-01,2026-06-02,바로팜 이벤트,,,https://i.baropharm.com/uploads/event/202605/1780237752394.png?&w=752&q=95,,https://www.baropharm.com/events/13312
자체,일반,,"🎉바로팜💝옵투스 신제품 포함, 리뷰 이벤트",2026-05-20,2026-06-05,바로팜 이벤트,,,https://i.baropharm.com/uploads/event/202605/1779243809626.png?&w=752&q=95,,https://www.baropharm.com/events/16685
자체,일반,,🎉 [가정의달 기념] 바로팜 가정식대첩,2026-05-26,2026-06-14,바로팜 이벤트,,,https://i.baropharm.com/uploads/event/202605/1779781368440.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉 [가정의달 기념] 바로팜 가정식대첩 이미지_202605_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉 [가정의달 기념] 바로팜 가정식대첩 이미지_2.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉 [가정의달 기념] 바로팜 가정식대첩 이미지_3.jpg,https://www.baropharm.com/events/16719
자체,일반,,여름나기 패트치 특별 기획전,2026-05-18,2026-07-01,바로팜 이벤트,,,https://i.baropharm.com/uploads/event/202605/1778832638206.jpg?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\여름나기 패트치 특별 기획전 이미지_202605_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\여름나기 패트치 특별 기획전 이미지_2.jpg,https://www.baropharm.com/events/16585
자체,일반,,🎉Baro멤버십 유지혜택 2분기 🎁,2026-03-12,2026-06-30,바로팜 이벤트,,,https://i.baropharm.com/event/1d01e287-5679-41c4-abbf-4a5a55282f74.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉Baro멤버십 유지혜택 2분기 🎁 이미지_202605_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉Baro멤버십 유지혜택 2분기 🎁 이미지_2.jpg,https://www.baropharm.com/events/15798
자체,일반,,📝 전문가상담 리포트,2026-03-30,2026-12-31,바로팜 이벤트,,,https://i.baropharm.com/event/d006e9b3-fc2b-4acc-bef1-cbd8831cb0fa.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\📝 전문가상담 리포트 이미지_202605_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\📝 전문가상담 리포트 이미지_2.jpg,https://www.baropharm.com/events/16098
자체,일반,,오펠라와 친구🤝맺고 혜택받기🎁,2025-12-26,2026-12-27,브랜드관 이벤트,,,https://i.baropharm.com/event/f7c285d6-bb5c-43fd-9df2-4dac5d6896e3.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\오펠라와 친구🤝맺고 혜택받기🎁 이미지_202603_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\오펠라와 친구🤝맺고 혜택받기🎁 이미지_2.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\오펠라와 친구🤝맺고 혜택받기🎁 이미지_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\오펠라와 친구🤝맺고 혜택받기🎁 이미지_4.jpg,https://www.baropharm.com/events/14587
자체,일반,,🎉바로팜💵 Baro미청구 OPEN,2025-11-17,2026-12-31,바로팜 이벤트,,,https://i.baropharm.com/event/af3f74c2-860e-4510-bd15-4144b2d614b0.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉바로팜💵 Baro미청구 OPEN 이미지_202603_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉바로팜💵 Baro미청구 OPEN 이미지_2.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉바로팜💵 Baro미청구 OPEN 이미지_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉바로팜💵 Baro미청구 OPEN 이미지_4.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉바로팜💵 Baro미청구 OPEN 이미지_5.jpg,https://www.baropharm.com/events/14071
자체,일반,,♥️365일 상시 진행⭐셀링리뷰 혜택,2025-12-19,2027-02-28,바로팜 이벤트,,,https://i.baropharm.com/event/66c31941-6010-47c6-83ac-83db6bd666e0.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\♥️365일 상시 진행⭐셀링리뷰 혜택 이미지_202603_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\♥️365일 상시 진행⭐셀링리뷰 혜택 이미지_2.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\♥️365일 상시 진행⭐셀링리뷰 혜택 이미지_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\♥️365일 상시 진행⭐셀링리뷰 혜택 이미지_4.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\♥️365일 상시 진행⭐셀링리뷰 혜택 이미지_5.jpg,https://www.baropharm.com/events/14479
자체,일반,,🎉 근무약사 모여라!,2024-07-08,2026-06-30,바로팜 이벤트,,,https://i.baropharm.com/event/69561195-3ddd-493c-a55e-f2db631376a4.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉 근무약사 모여라! 이미지_202603_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉 근무약사 모여라! 이미지_2.jpg,https://www.baropharm.com/events/7315
자체,일반,,✨신규 회원✨ 웰컴 혜택🎁,2024-10-18,2027-01-01,바로팜 이벤트,,,https://i.baropharm.com/event/870a1f83-b120-4543-b934-8505a938b775.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\✨신규 회원✨ 웰컴 혜택🎁 이미지_202606_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\✨신규 회원✨ 웰컴 혜택🎁 이미지_202410_2.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\✨신규 회원✨ 웰컴 혜택🎁 이미지_3.jpg|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\✨신규 회원✨ 웰컴 혜택🎁 이미지_202410_4.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\✨신규 회원✨ 웰컴 혜택🎁 이미지_202410_5.png,https://www.baropharm.com/events/9240
자체,일반,,🎉 바로팜 계좌결제 프로모션,2024-07-18,2026-12-31,카드 프로모션,,,https://i.baropharm.com/event/0fe7aa96-813e-411f-8bca-e9c9333f0564.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉 바로팜 계좌결제 프로모션 이미지_202605_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\🎉 바로팜 계좌결제 프로모션 이미지_2.jpg,https://www.baropharm.com/events/7588
자체,일반,,댓글만 달아도 포인트가 와르르~!🎊,2024-04-01,2026-12-31,바로팜 이벤트,,,https://i.baropharm.com/event/d91e78e7-9e35-4f02-93c2-c66e8f1120d6.png?&w=752&q=95,D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\댓글만 달아도 포인트가 와르르~!🎊 이미지_202603_1.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\댓글만 달아도 포인트가 와르르~!🎊 이미지_202408_2.png|D:\Users\Desktop\pico\quasi_drug\data\baropharm\events\댓글만 달아도 포인트가 와르르~!🎊 이미지_202503_3.png,https://www.baropharm.com/events/4969
